frame,id,x,y,w,h,class_id,score,unique_ids_seen
95,3,1794,629,52,118,0,0.420283,4
96,0,1476,1077,172,16,2,0.517594,4
96,1,287,572,178,77,2,0.642969,4
96,2,933,511,53,53,2,0.547647,4
96,3,1795,628,52,118,0,0.420283,4
97,0,1483,1078,172,16,2,0.517594,4
97,1,288,573,177,77,2,0.642969,4
97,2,934,514,53,53,2,0.547647,4
97,3,1795,628,52,118,0,0.420283,4
98,0,1491,1078,172,16,2,0.517594,4
98,1,289,571,179,79,2,0.577702,4
98,2,934,519,53,49,2,0.451999,4
98,3,1796,628,52,118,0,0.420283,4
99,0,1499,1079,172,16,2,0.517594,4
99,1,290,572,179,80,2,0.577702,4
99,2,934,522,53,49,2,0.451999,4
99,3,1796,628,52,118,0,0.420283,4
100,0,1507,1079,172,16,2,0.517594,4
100,1,289,577,177,75,2,0.581628,4
100,2,935,522,55,49,2,0.58241,4
100,3,1797,628,52,118,0,0.420283,4
101,0,1514,1080,172,16,2,0.517594,4
101,1,289,578,176,75,2,0.581628,4
101,2,935,525,55,49,2,0.58241,4
101,3,1797,628,52,118,0,0.420283,4
102,0,1522,1081,172,16,2,0.517594,5
102,1,290,577,179,76,2,0.56849,5
102,2,934,525,58,53,2,0.697557,5
102,3,1797,628,52,118,0,0.420283,5
102,4,366,552,111,60,2,0.486935,5
103,0,1530,1081,172,16,2,0.517594,5
103,1,290,577,179,76,2,0.56849,5
103,2,934,527,58,53,2,0.697557,5
103,3,1798,628,52,118,0,0.420283,5
103,4,366,552,111,60,2,0.486935,5
104,0,1538,1082,172,16,2,0.517594,5
104,1,290,561,184,93,2,0.511107,5
104,2,933,528,60,56,2,0.586995,5
104,3,1798,628,52,118,0,0.420283,5
104,4,366,552,111,60,2,0.486935,5
105,0,1545,1082,172,16,2,0.517594,5
105,1,291,559,184,95,2,0.511107,5
105,2,933,530,61,57,2,0.586995,5
105,3,1799,628,52,118,0,0.420283,5
105,4,366,552,111,60,2,0.486935,5
106,0,1553,1083,172,16,2,0.517594,5
106,1,291,557,185,98,2,0.518192,5
106,2,934,533,64,57,2,0.687754,5
106,3,1799,628,52,118,0,0.420283,5
106,4,366,552,111,60,2,0.486935,5
107,0,1561,1083,172,16,2,0.517594,5
107,1,292,556,186,100,2,0.518192,5
107,2,935,536,65,57,2,0.687754,5
107,3,1790,649,53,117,0,0.423528,5
107,4,366,552,111,60,2,0.486935,5
108,0,1569,1084,172,16,2,0.517594,5
108,1,291,571,184,84,2,0.549038,5
108,2,935,538,64,61,2,0.755177,5
108,3,1790,649,53,117,0,0.423528,5
108,4,366,552,111,60,2,0.486935,5
109,0,1576,1084,172,16,2,0.517594,5
109,1,291,572,184,83,2,0.549038,5
109,2,935,541,64,62,2,0.755177,5
109,3,1791,644,54,119,0,0.439435,5
109,4,366,552,111,60,2,0.486935,5
110,0,1584,1085,172,16,2,0.517594,5
110,1,291,577,181,79,2,0.5681,5
110,2,935,543,66,62,2,0.771419,5
110,3,1791,644,54,119,0,0.439435,5
110,4,366,552,111,60,2,0.486935,5
111,0,1592,1086,172,16,2,0.517594,5
111,1,291,578,181,78,2,0.5681,5
111,2,935,546,66,63,2,0.771419,5
111,3,1792,643,54,119,0,0.439435,5
111,4,366,552,111,60,2,0.486935,5
112,0,1599,1086,172,16,2,0.517594,5
112,1,292,579,181,77,2,0.566923,5
112,2,932,550,71,63,2,0.759423,5
112,3,1792,642,54,119,0,0.439435,5
112,4,366,552,111,60,2,0.486935,5
113,1,292,580,181,76,2,0.566923,5
113,2,932,553,72,63,2,0.759423,5
113,4,366,552,111,60,2,0.486935,5
114,1,291,585,177,70,2,0.568994,5
114,2,935,556,70,63,2,0.667054,5
114,4,366,552,111,60,2,0.486935,5
115,1,291,587,176,69,2,0.568994,5
115,2,936,559,70,63,2,0.667054,5
115,4,366,552,111,60,2,0.486935,5
116,1,292,586,177,71,2,0.635129,5
116,2,935,566,70,64,2,0.6171,5
116,4,366,552,111,60,2,0.486935,5
117,1,292,587,177,71,2,0.635129,5
117,2,936,570,70,64,2,0.6171,5
117,4,366,552,111,60,2,0.486935,5
118,1,293,585,179,74,2,0.66128,5
118,2,939,571,72,66,2,0.680814,5
118,4,366,552,111,60,2,0.486935,5
119,1,293,585,179,74,2,0.66128,5
119,2,941,575,73,67,2,0.680814,5
119,4,366,552,111,60,2,0.486935,5
120,1,293,585,178,75,2,0.547519,5
120,2,942,576,74,71,2,0.663771,5
120,4,366,552,111,60,2,0.486935,5
121,1,293,586,178,75,2,0.547519,5
121,2,943,579,75,72,2,0.663771,5
121,4,366,552,111,60,2,0.486935,5
122,1,294,587,178,74,2,0.625515,5
122,2,945,584,74,71,2,0.676374,5
122,4,366,552,111,60,2,0.486935,5
123,1,294,587,177,74,2,0.625515,5
123,2,946,588,74,72,2,0.676374,5
123,4,366,552,111,60,2,0.486935,5
124,1,294,587,174,75,2,0.661244,5
124,2,946,593,76,70,2,0.649499,5
124,4,366,552,111,60,2,0.486935,5
125,1,295,587,174,75,2,0.661244,5
125,2,948,597,76,70,2,0.649499,5
125,4,366,552,111,60,2,0.486935,5
126,1,295,588,173,74,2,0.673527,5
126,2,948,601,78,77,2,0.699486,5
126,4,366,552,111,60,2,0.486935,5
127,1,295,588,172,74,2,0.673527,5
127,2,949,605,78,78,2,0.699486,5
